time;demand;hydro avail.;solar avail.;wind avail.
01.01.2020 00:00 - 01.01.2020 00:15 (CET);4963;0.365653389;0;0.611554421
01.01.2020 00:15 - 01.01.2020 00:30 (CET);4929;0.367575122;0;0.601340568
01.01.2020 00:30 - 01.01.2020 00:45 (CET);4891;0.362508735;0;0.600063837
01.01.2020 00:45 - 01.01.2020 01:00 (CET);4856;0.360936408;0;0.601340568
01.01.2020 01:00 - 01.01.2020 01:15 (CET);5132;0.357791754;0;0.614107884
01.01.2020 01:15 - 01.01.2020 01:30 (CET);5125;0.351677149;0;0.628151931
01.01.2020 01:30 - 01.01.2020 01:45 (CET);5105;0.350978337;0;0.634535589
01.01.2020 01:45 - 01.01.2020 02:00 (CET);5040;0.348532495;0;0.637089052
01.01.2020 02:00 - 01.01.2020 02:15 (CET);5106;0.353598882;0;0.640919247
01.01.2020 02:15 - 01.01.2020 02:30 (CET);5101;0.34940601;0;0.639642515
01.01.2020 02:30 - 01.01.2020 02:45 (CET);5022;0.347484277;0;0.634535589
01.01.2020 02:45 - 01.01.2020 03:00 (CET);4942;0.34591195;0;0.61921481
01.01.2020 03:00 - 01.01.2020 03:15 (CET);5258;0.350803634;0;0.611554421
01.01.2020 03:15 - 01.01.2020 03:30 (CET);5287;0.355695318;0;0.591126716
01.01.2020 03:30 - 01.01.2020 03:45 (CET);5239;0.355520615;0;0.587296521
01.01.2020 03:45 - 01.01.2020 04:00 (CET);5201;0.355345912;0;0.574529205
01.01.2020 04:00 - 01.01.2020 04:15 (CET);5265;0.355345912;0;0.565592084
01.01.2020 04:15 - 01.01.2020 04:30 (CET);5256;0.353249476;0;0.550271305
01.01.2020 04:30 - 01.01.2020 04:45 (CET);5244;0.351851852;0;0.538780721
01.01.2020 04:45 - 01.01.2020 05:00 (CET);5237;0.350978337;0;0.527290137
01.01.2020 05:00 - 01.01.2020 05:15 (CET);5201;0.352550664;0;0.509415895
01.01.2020 05:15 - 01.01.2020 05:30 (CET);5213;0.3546471;0;0.49664858
01.01.2020 05:30 - 01.01.2020 05:45 (CET);5262;0.357267645;0;0.460900096
01.01.2020 05:45 - 01.01.2020 06:00 (CET);5213;0.357791754;0;0.427705075
01.01.2020 06:00 - 01.01.2020 06:15 (CET);5103;0.356219427;0;0.399616981
01.01.2020 06:15 - 01.01.2020 06:30 (CET);5103;0.359014675;0;0.372805618
01.01.2020 06:30 - 01.01.2020 06:45 (CET);5081;0.363032844;0;0.353654644
01.01.2020 06:45 - 01.01.2020 07:00 (CET);5207;0.363207547;0;0.337057134
01.01.2020 07:00 - 01.01.2020 07:15 (CET);5671;0.363032844;0;0.302585381
01.01.2020 07:15 - 01.01.2020 07:30 (CET);5720;0.366352201;0;0.285987871
01.01.2020 07:30 - 01.01.2020 07:45 (CET);5727;0.369496855;0;0.275774019
01.01.2020 07:45 - 01.01.2020 08:00 (CET);5758;0.367575122;0;0.264283434
01.01.2020 08:00 - 01.01.2020 08:15 (CET);5691;0.365653389;0.0060015;0.242578998
01.01.2020 08:15 - 01.01.2020 08:30 (CET);5796;0.362334032;0.012003001;0.231088414
01.01.2020 08:30 - 01.01.2020 08:45 (CET);5803;0.360412299;0.018004501;0.222151293
01.01.2020 08:45 - 01.01.2020 09:00 (CET);5886;0.359713487;0.024006002;0.215767635
01.01.2020 09:00 - 01.01.2020 09:15 (CET);6044;0.35814116;0.036009002;0.205553782
01.01.2020 09:15 - 01.01.2020 09:30 (CET);6084;0.359364081;0.048012003;0.182572614
01.01.2020 09:30 - 01.01.2020 09:45 (CET);6173;0.359189378;0.063015754;0.173635493
01.01.2020 09:45 - 01.01.2020 10:00 (CET);6214;0.361984626;0.078019505;0.180019151
01.01.2020 10:00 - 01.01.2020 10:15 (CET);6440;0.358839972;0.093023256;0.18767954
01.01.2020 10:15 - 01.01.2020 10:30 (CET);6500;0.354472397;0.111027757;0.186402809
01.01.2020 10:30 - 01.01.2020 10:45 (CET);6546;0.354472397;0.126031508;0.183849346
01.01.2020 10:45 - 01.01.2020 11:00 (CET);6626;0.362334032;0.144036009;0.181295883
01.01.2020 11:00 - 01.01.2020 11:15 (CET);6809;0.356044724;0.15603901;0.209383977
01.01.2020 11:15 - 01.01.2020 11:30 (CET);6833;0.35814116;0.168042011;0.215767635
01.01.2020 11:30 - 01.01.2020 11:45 (CET);6877;0.354996506;0.180045011;0.234918608
01.01.2020 11:45 - 01.01.2020 12:00 (CET);6876;0.358665269;0.189047262;0.232365145
01.01.2020 12:00 - 01.01.2020 12:15 (CET);6926;0.363032844;0.192048012;0.243855729
01.01.2020 12:15 - 01.01.2020 12:30 (CET);6891;0.355520615;0.195048762;0.266836898
01.01.2020 12:30 - 01.01.2020 12:45 (CET);6931;0.353249476;0.195048762;0.284711139
01.01.2020 12:45 - 01.01.2020 13:00 (CET);6947;0.350803634;0.198049512;0.278327482
01.01.2020 13:00 - 01.01.2020 13:15 (CET);7150;0.35814116;0.189047262;0.263006703
01.01.2020 13:15 - 01.01.2020 13:30 (CET);7110;0.362858141;0.180045011;0.238748803
01.01.2020 13:30 - 01.01.2020 13:45 (CET);7083;0.367225716;0.171042761;0.204277051
01.01.2020 13:45 - 01.01.2020 14:00 (CET);7047;0.366701607;0.16204051;0.178742419
01.01.2020 14:00 - 01.01.2020 14:15 (CET);6707;0.366002795;0.144036009;0.172358762
01.01.2020 14:15 - 01.01.2020 14:30 (CET);6620;0.367225716;0.126031508;0.162144909
01.01.2020 14:30 - 01.01.2020 14:45 (CET);6533;0.367749825;0.108027007;0.149377593
01.01.2020 14:45 - 01.01.2020 15:00 (CET);6535;0.368798043;0.093023256;0.13022662
01.01.2020 15:00 - 01.01.2020 15:15 (CET);6175;0.374563242;0.075018755;0.117459304
01.01.2020 15:15 - 01.01.2020 15:30 (CET);6096;0.379454927;0.060015004;0.100861794
01.01.2020 15:30 - 01.01.2020 15:45 (CET);6148;0.381027254;0.042010503;0.091924673
