time;system cost;marginal price;profit agent 1;profit agent 2;profit agent 3;profit agent 4;profit agent 5
01.01.2020 00:00 - 01.01.2020 00:15 (CET);223522.5;45.0;-16990.126725750004;83368.972692;82743.3131613;0.0;-168.75000000000003
01.01.2020 00:15 - 01.01.2020 00:30 (CET);221992.5;45.0;-16724.071355999993;83807.12781600001;81361.37885040001;0.0;-168.75000000000003
01.01.2020 00:30 - 01.01.2020 00:45 (CET);220282.5;45.0;-16647.830877749995;82651.99158;81188.6371461;0.0;-168.75000000000003
01.01.2020 00:45 - 01.01.2020 01:00 (CET);218707.5;45.0;-15977.797746000017;82293.50102399997;81361.37885040001;0.0;-168.75000000000003
01.01.2020 01:00 - 01.01.2020 01:15 (CET);231127.5;45.0;-21664.352823000016;81576.519912;83088.79670519999;0.0;-168.75000000000003
01.01.2020 01:15 - 01.01.2020 01:30 (CET);230812.5;45.0;-21289.55400825002;80182.38997199999;84988.9562643;0.0;-168.75000000000003
01.01.2020 01:30 - 01.01.2020 01:45 (CET);229912.5;45.0;-20459.907021749998;80023.06083600002;85852.6651917;0.0;-168.75000000000003
01.01.2020 01:45 - 01.01.2020 02:00 (CET);226987.5;45.0;-19138.00106400001;79465.40886;86198.14873559999;0.0;-168.75000000000003
01.01.2020 02:00 - 01.01.2020 02:15 (CET);229957.5;45.0;-19654.646840250018;80620.54509599999;86716.3741191;0.0;-168.75000000000003
01.01.2020 02:15 - 01.01.2020 02:30 (CET);229732.5;45.0;-20202.981911250004;79664.57028;86543.6322795;0.0;-168.75000000000003
01.01.2020 02:30 - 01.01.2020 02:45 (CET);226177.5;45.0;-19064.10512175;79226.41515600002;85852.6651917;0.0;-168.75000000000003
01.01.2020 02:45 - 01.01.2020 03:00 (CET);222577.5;45.0;-18613.937107499998;78867.9246;83779.763793;0.0;-168.75000000000003
01.01.2020 03:00 - 01.01.2020 03:15 (CET);236797.5;45.0;-25632.343650750012;79983.22855199999;82743.3131613;0.0;-168.75000000000003
01.01.2020 03:15 - 01.01.2020 03:30 (CET);238102.5;45.0;-27141.223407000005;81098.532504;79979.4446748;0.0;-168.75000000000003
01.01.2020 03:30 - 01.01.2020 03:45 (CET);235942.5;45.0;-26369.200290750017;81058.70021999998;79461.2192913;0.0;-168.75000000000003
01.01.2020 03:45 - 01.01.2020 04:00 (CET);234232.5;45.0;-26485.758408749996;81018.86793600002;77733.8014365;0.0;-168.75000000000003
01.01.2020 04:00 - 01.01.2020 04:15 (CET);237112.5;45.0;-28589.339643000007;81018.86793600002;76524.6089652;0.0;-168.75000000000003
01.01.2020 04:15 - 01.01.2020 04:30 (CET);236707.5;45.0;-29807.42634375;80540.88052800001;74451.7075665;0.0;-168.75000000000003
01.01.2020 04:30 - 01.01.2020 04:45 (CET);236167.5;45.0;-30579.281445750014;80222.22225599998;72897.0315513;0.0;-168.75000000000003
01.01.2020 04:45 - 01.01.2020 05:00 (CET);235852.5;45.0;-31392.88183275001;80023.060836;71342.3555361;0.0;-168.75000000000003
01.01.2020 05:00 - 01.01.2020 05:15 (CET);234232.5;45.0;-31697.780156250017;80381.551392;68923.9705935;0.0;-168.75000000000003
01.01.2020 05:15 - 01.01.2020 05:30 (CET);234772.5;45.0;-32632.73443500002;80859.53879999998;67196.552874;0.0;-168.75000000000003
01.01.2020 05:30 - 01.01.2020 05:45 (CET);236977.5;45.0;-36035.785797;81457.02306;62359.782988800005;0.0;-168.75000000000003
01.01.2020 05:45 - 01.01.2020 06:00 (CET);234772.5;45.0;-37327.26139125002;81576.519912;57868.4966475;0.0;-168.75000000000003
01.01.2020 06:00 - 01.01.2020 06:15 (CET);229822.5;45.0;-37150.066515750004;81218.029356;54068.1775293;0.0;-168.75000000000003
01.01.2020 06:15 - 01.01.2020 06:30 (CET);229822.5;45.0;-38763.451738500014;81855.3459;50440.60011539999;0.0;-168.75000000000003
01.01.2020 06:30 - 01.01.2020 06:45 (CET);228832.5;45.0;-39147.95874300001;82771.488432;47849.473333199996;0.0;-168.75000000000003
